REGISTRO,AYUNTAMIENTO,DATE,INMUEBLE,LOCALIDAD,YEAR,latitude,longitude
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allín,14/04/2005,Ermita San Miguel,Galdeano,2005.0,42.7252424,-2.0929555
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Andosilla,14/06/2006,Parroquia San Julian y Santa Basilisa,,2006.0,42.376476,-1.9448153
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Arroniz,21/01/2002,Ermita Nuestra Señora de los Remedios,,2002.0,42.5888239,-2.091308
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Obanos,,Ermita Arnotegui,,,42.6808183,-1.7851016
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Juslapeña,,Parroquia S. Bartolome,Beorburu,,42.9224811,-1.7277841
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Larraun,,Ermita S. Bartolome, Azpirotz,,43.0182791,-1.9156797
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Larraun,,Parroquia S. Bartolome, Gorriti ,,43.0508047,-1.9530336
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Uharte Araquil,,Ermita S. Bartolome,,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Adiós ,,Ermita S. Cristóbal,,,42.6866956,-1.7359099
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Juslapeña,,Parroquia S. Cristóbal,Osacar ,,42.9144463,-1.7201371
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Atez,,Parroquia S. Cristóbal,Berasain ,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Imoz,,Parroquia S. Cristóbal,Oskotz (Oscoz),,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Larraun,,Parroquia S. Cristóbal, Arruitz,,42.9943933,-1.8634196
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Alsasua,,Ermita Cristo de Otadia,,,42.8949665,-2.1685103
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Araiz,,Finca de pastos,Gainza,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ulzama,,Ermita Virgen de Velate,Alkotz,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Iturmendi ,,Ermita Virgen del Pilar,,,42.8898506,-2.1179049
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Bacaicoa ,,Ermita S. Benito – Irimendi,,,,
