REGISTRO,INMUEBLE,AYUNTAMIENTO,LOCALIDAD,DATE,YEAR
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita San Miguel,Allín,Galdeano,14/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Julian y Santa Basilisa,Andosilla,,14/06/2006,2006
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Nuestra Señora de los Remedios,Arroniz,,21/01/2002,2002
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Ermita Arnotegui,Obanos,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Parroquia S. Bartolome,Juslapeña,Beorburu,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ermita S. Bartolome,Larraun, Azpirotz,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia S. Bartolome,Larraun, Gorriti ,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ermita S. Bartolome,Uharte Araquil,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Ermita S. Cristóbal,Adiós ,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Parroquia S. Cristóbal,Juslapeña,Osacar ,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia S. Cristóbal,Atez,Berasain ,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia S. Cristóbal,Imoz,Oskotz (Oscoz),,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia S. Cristóbal,Larraun, Arruitz,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ermita Cristo de Otadia,Alsasua,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Finca de pastos,Araiz,Gainza,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ermita Virgen de Velate,Ulzama,Alkotz,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ermita Virgen del Pilar,Iturmendi ,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ermita S. Benito – Irimendi,Bacaicoa ,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Parroquia Santa Maria Magdalena,Eneriz ,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Parroquia La Natividad,Galar,Olaz Subiza,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia La Natividad,Basaburua,Erviti,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia La Natividad,Basaburua,Garzaron,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia La Natividad,Basaburua,Yaben,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia La Natividad,Imoz,Goldaratz ,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Parroquia,Iza,Orderiz ,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ermita S. Adrian,Ergoyena,Lizarraga,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Parroquia S. Adrián,Galar ,Esquiroz,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ermita S. Andres,Ergoyena,Unanua,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Parroquia S. Andrés,Adiós,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Parroquia S. Andrés,Berrioplano,Añezcar,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Parroquia S. Andrés,Ezcabarte,Sorauren,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Parroquia S. Andrés,Iza ,Zuasti,,
